player,team,position,matched_club,matched_intl,club_suggestion,club_score,intl_suggestion,intl_score
Nidal Celik,Bosnia and Herzegovina,DEF,True,False,Nidal Celik,100.0,,
Jovo Lukic,Bosnia and Herzegovina,FWD,False,False,Ivan Jukić,60.0,,
Samed Bazdar,Bosnia and Herzegovina,FWD,False,True,,,Samed Baždar,100.0
Osman Hadzikic,Bosnia and Herzegovina,GK,False,False,,,Dennis Hadzikadunic,60.6
Martin Zlomislic,Bosnia and Herzegovina,GK,False,True,Adrian Leon Barišić,62.9,Martin Zlomislić,100.0
Dzenis Burnic,Bosnia and Herzegovina,MID,False,True,Denis Huseinbasic,66.7,Dženis Burnić,100.0
Ivan Sunjic,Bosnia and Herzegovina,MID,False,True,Ivan Jukić,76.2,Ivan Šunjić,100.0
Ivan Basic,Bosnia and Herzegovina,MID,False,True,Denis Huseinbasic,74.1,Ivan Bašić,100.0
Benjamin Tahirovic,Bosnia and Herzegovina,MID,False,True,Armin Gigovic,64.5,Benjamin Tahirovic,100.0
Douglas Santos,Brazil,DEF,False,True,Marcelo dos Santos Ferreira,85.5,Douglas Santos,100.0
Bremer,Brazil,DEF,True,False,Gleison Bremer,100.0,Alisson,65.8
Léo Pereira,Brazil,DEF,True,False,Léo Pereira,100.0,Andreas Pereira,73.9
Luiz Henrique,Brazil,FWD,False,True,Luis Henrique,92.3,Luiz Henrique,100.0
Igor Thiago,Brazil,FWD,True,False,Igor Thiago,100.0,,
Rayan,Brazil,FWD,True,False,Rayan,100.0,Yan Couto,67.5
Fabinho,Brazil,MID,True,False,Fabinho,100.0,Nino,67.5
João Paulo,Cabo Verde,MID,True,False,,,João Paulo Fernandes,90.0
Yannick Semedo,Cabo Verde,MID,False,False,,,Yannick,90.0
Kevin Pina,Cabo Verde,MID,False,True,,,Kevin Pina,100.0
Pico,Cabo Verde,DEF,False,True,Fabrício Garcia,67.5,Pico,100.0
Kelvin Pires,Cabo Verde,DEF,False,False,,,Kevin Pina,72.7
Diney,Cabo Verde,DEF,False,True,Sidny Cabral,64.1,Diney,100.0
Garry Rodrigues,Cabo Verde,FWD,False,True,,,Garry Rodrigues,100.0
Willy Semedo,Cabo Verde,FWD,False,True,,,Willy Semedo,100.0
Vozinha,Cabo Verde,GK,False,True,,,Vozinha,100.0
CJ dos Santos,Cabo Verde,GK,False,False,,,,
Márcio da Rosa,Cabo Verde,GK,False,False,Fabrício Garcia,62.1,Fabrício Garcia,62.1
Deroy Duarte,Cabo Verde,MID,False,True,,,Deroy Duarte,100.0
Laros Duarte,Cabo Verde,MID,False,True,,,Laros Duarte,100.0
Owen Goodman,Canada,GK,False,False,Owen Graham Roache,85.5,,
Ralph Priso,Canada,MID,True,False,Ralph Priso-Mbongue,100.0,,
Niko Sigur,Canada,MID,False,True,,,Niko Sigur,100.0
Marcelo Flores,Canada,MID,True,False,Marcelo Flores,100.0,,
Luis Suárez,Colombia,FWD,True,False,Luis Javier Suárez,85.5,Luis Javier Suárez,85.5
David Ospina,Colombia,GK,False,False,Álvaro David Montero,85.5,Álvaro David Montero,85.5
